customer_id,order_id,order_date,order_amount,category,device,payment_method
CUST-00001,ORD-0000001,2024-05-12,436.13,tools_construction,mobile,credit_card
CUST-00001,ORD-0000002,2024-02-29,221.01,pets,mobile,debit_card
CUST-00001,ORD-0000003,2023-07-23,245.87,technology,desktop,debit_card
CUST-00001,ORD-0000004,2024-01-13,301.57,tools_construction,mobile,money_transfer
CUST-00002,ORD-0000005,2024-06-16,86.59,pets,mobile,account_money
CUST-00002,ORD-0000006,2023-05-21,34.230000000000004,tools_construction,mobile,credit_card
CUST-00002,ORD-0000007,2023-11-19,218.37,tools_construction,desktop,account_money
CUST-00002,ORD-0000008,2023-10-24,137.61,pharmacy,mobile,money_transfer
CUST-00002,ORD-0000009,2023-09-05,59.14,tools_construction,mobile,money_transfer
CUST-00003,ORD-0000010,2024-08-20,540.2,pets,mobile,account_money
CUST-00003,ORD-0000011,2023-10-12,42.65,pets,desktop,account_money
CUST-00004,ORD-0000012,2024-03-07,323.31,technology,mobile,account_money
CUST-00004,ORD-0000013,2023-12-12,78.31,pets,desktop,credit_card
CUST-00005,ORD-0000014,2023-10-07,82.95,pets,desktop,debit_card
CUST-00005,ORD-0000015,2023-09-29,113.87,pharmacy,desktop,credit_card
CUST-00005,ORD-0000016,2024-04-22,295.78,technology,mobile,account_money
CUST-00006,ORD-0000017,2023-09-15,45.89,pets,desktop,account_money
CUST-00006,ORD-0000018,2023-10-23,258.78,tools_construction,desktop,debit_card
CUST-00006,ORD-0000019,2024-02-21,75.01,tools_construction,mobile,money_transfer
CUST-00006,ORD-0000020,2024-04-23,205.98,pets,mobile,debit_card
CUST-00006,ORD-0000021,2023-11-20,87.9,pets,mobile,account_money
CUST-00006,ORD-0000022,2024-08-17,151.14,pharmacy,mobile,debit_card
CUST-00006,ORD-0000023,2023-10-15,92.21,technology,mobile,money_transfer
CUST-00006,ORD-0000024,2023-12-24,116.12,tools_construction,mobile,debit_card
CUST-00007,ORD-0000025,2024-03-21,99.02,pharmacy,desktop,account_money
CUST-00007,ORD-0000026,2023-06-14,83.94,pets,desktop,money_transfer
CUST-00007,ORD-0000027,2024-05-28,869.15,pharmacy,desktop,money_transfer
CUST-00007,ORD-0000028,2023-12-27,176.06,pets,mobile,credit_card
CUST-00007,ORD-0000029,2024-08-17,158.43,technology,mobile,debit_card
CUST-00007,ORD-0000030,2023-07-03,182.89,tools_construction,mobile,debit_card
CUST-00008,ORD-0000031,2024-07-15,463.46,tools_construction,desktop,credit_card
CUST-00008,ORD-0000032,2024-08-08,452.55,pets,desktop,account_money
CUST-00008,ORD-0000033,2024-08-12,63.49,technology,desktop,debit_card
CUST-00008,ORD-0000034,2024-08-20,74.67,pharmacy,mobile,debit_card
CUST-00008,ORD-0000035,2024-07-29,85.2,technology,desktop,debit_card
CUST-00008,ORD-0000036,2024-08-23,130.2,pets,mobile,money_transfer
CUST-00008,ORD-0000037,2024-08-26,363.27,technology,mobile,debit_card
